ds,yhat,yhat_lower,yhat_upper
2022-03-30,132.3252351939064,58.6436092754913,205.33272977231286
2022-03-31,142.71923916988962,67.17417706165315,213.07229859644184
2022-04-01,118.18645785004428,47.44542115296128,192.3320207141319
2022-04-02,128.9274818504491,61.42982240565026,193.54272659611942
2022-04-03,66.65824627196596,-5.204223850821492,139.90020707272794
2022-04-04,50.13308623827933,-21.922137165944264,122.61176266596377
2022-04-05,215.31249293714694,141.18745378596006,286.1008530546285
2022-04-06,123.50500193203669,56.25926224412871,191.4523199493764
2022-04-07,47.836929585822624,-26.813133059871376,121.0844994334273
2022-04-08,123.54140369847927,49.723297931248084,198.87383859271873
2022-04-09,172.31021985288118,102.40102089798941,239.9497740429402
2022-04-10,316.75725897186624,247.695948045638,387.4363535768638
2022-04-11,236.97407064931076,161.39297694847724,309.4545461516939
